iter	Passed	Remaining
0	195	194842
1	228	113983
2	262	87384
3	290	72418
4	320	63769
5	350	58033
6	377	53617
7	406	50381
8	434	47834
9	463	45897
10	491	44195
11	518	42674
12	544	41309
13	571	40271
14	598	39308
15	624	38419
16	652	37727
17	676	36932
18	702	36278
19	727	35635
20	751	35046
21	781	34753
22	809	34389
23	838	34081
24	867	33830
25	895	33536
26	920	33172
27	946	32847
28	970	32489
29	997	32261
30	1021	31942
31	1047	31693
32	1073	31468
33	1103	31354
34	1128	31127
35	1153	30876
36	1179	30699
37	1203	30473
38	1227	30253
39	1250	30009
40	1283	30014
41	1311	29904
42	1335	29725
43	1359	29535
44	1381	29326
45	1406	29178
46	1432	29039
47	1457	28905
48	1481	28747
49	1504	28592
50	1526	28410
51	1549	28248
52	1574	28137
53	1598	28011
54	1623	27896
55	1647	27764
56	1672	27675
57	1695	27534
58	1718	27411
59	1741	27287
60	1765	27173
61	1792	27111
62	1819	27057
63	1844	26971
64	1866	26852
65	1892	26782
66	1918	26714
67	1942	26618
68	1965	26513
69	1989	26426
70	2014	26364
71	2037	26262
72	2062	26193
73	2090	26164
74	2117	26120
75	2143	26055
76	2164	25951
77	2190	25892
78	2214	25817
79	2238	25737
80	2264	25688
81	2288	25615
82	2313	25564
83	2337	25491
84	2362	25436
85	2385	25356
86	2410	25292
87	2433	25220
88	2455	25139
89	2481	25092
90	2503	25005
91	2525	24924
92	2550	24869
93	2574	24814
94	2597	24744
95	2618	24661
96	2640	24581
97	2663	24518
98	2687	24460
99	2712	24414
100	2736	24354
101	2758	24281
102	2781	24224
103	2803	24151
104	2828	24107
105	2851	24048
106	2873	23977
107	2894	23909
108	2915	23829
109	2940	23793
110	2962	23722
111	2987	23683
112	3010	23634
113	3036	23596
114	3060	23550
115	3084	23506
116	3107	23455
117	3129	23392
118	3151	23333
119	3174	23283
120	3198	23235
121	3220	23174
122	3241	23114
123	3262	23050
124	3288	23021
125	3320	23033
126	3347	23010
127	3374	22987
128	3401	22965
129	3423	22908
130	3444	22851
131	3466	22791
132	3489	22747
133	3512	22700
134	3535	22656
135	3552	22569
136	3575	22523
137	3597	22473
138	3620	22424
139	3639	22358
140	3661	22304
141	3684	22265
142	3705	22206
143	3726	22154
144	3746	22093
145	3769	22048
146	3790	21993
147	3815	21962
148	3838	21923
149	3858	21866
150	3881	21826
151	3904	21780
152	3927	21740
153	3948	21693
154	3972	21655
155	3994	21611
156	4014	21556
157	4037	21514
158	4061	21485
159	4084	21442
160	4107	21405
161	4133	21381
162	4155	21336
163	4176	21290
164	4199	21253
165	4220	21204
166	4242	21160
167	4264	21117
168	4285	21070
169	4303	21008
170	4325	20969
171	4341	20898
172	4363	20857
173	4388	20834
174	4411	20796
175	4433	20757
176	4450	20694
177	4469	20640
178	4486	20578
179	4504	20521
180	4523	20467
181	4539	20402
182	4557	20346
183	4576	20294
184	4593	20237
185	4612	20186
186	4630	20132
187	4648	20076
188	4666	20023
189	4684	19968
190	4707	19940
191	4725	19884
192	4742	19830
193	4761	19780
194	4778	19727
195	4796	19675
196	4815	19626
197	4835	19584
198	4852	19530
199	4870	19480
200	4887	19429
201	4915	19420
202	4944	19411
203	4974	19409
204	4998	19383
205	5021	19356
206	5045	19330
207	5068	19298
208	5090	19264
209	5109	19220
210	5127	19172
211	5145	19124
212	5164	19081
213	5183	19037
214	5205	19006
215	5223	18960
216	5241	18913
217	5259	18866
218	5277	18821
219	5296	18776
220	5313	18731
221	5332	18686
222	5356	18663
223	5381	18641
224	5405	18620
225	5426	18583
226	5445	18542
227	5464	18501
228	5485	18467
229	5505	18430
230	5523	18388
231	5541	18343
232	5560	18303
233	5578	18261
234	5596	18218
235	5616	18181
236	5633	18138
237	5652	18098
238	5670	18056
239	5687	18011
240	5705	17968
241	5723	17928
242	5741	17885
243	5758	17843
244	5776	17802
245	5794	17761
246	5812	17719
247	5832	17684
248	5850	17646
249	5868	17605
250	5887	17567
251	5906	17530
252	5924	17491
253	5941	17451
254	5960	17413
255	5977	17372
256	5995	17331
257	6014	17296
258	6034	17265
259	6054	17232
260	6072	17194
261	6092	17161
262	6112	17128
263	6130	17091
264	6147	17051
265	6165	17013
266	6182	16974
267	6201	16938
268	6220	16902
269	6237	16865
270	6256	16829
271	6273	16791
272	6291	16755
273	6309	16717
274	6326	16680
275	6345	16644
276	6363	16610
277	6381	16574
278	6399	16538
279	6417	16501
280	6435	16466
281	6453	16432
282	6472	16399
283	6491	16366
284	6509	16331
285	6527	16296
286	6544	16259
287	6562	16224
288	6580	16188
289	6597	16153
290	6616	16119
291	6633	16083
292	6651	16050
293	6669	16015
294	6688	15983
295	6706	15949
296	6723	15914
297	6741	15881
298	6759	15846
299	6777	15814
300	6796	15782
301	6815	15752
302	6837	15727
303	6857	15701
304	6876	15669
305	6895	15639
306	6917	15614
307	6936	15585
308	6955	15554
309	6973	15522
310	6992	15492
311	7014	15467
312	7035	15442
313	7058	15420
314	7078	15393
315	7098	15364
316	7118	15336
